idsbrokencres,model_name,cre,crd,repair,broken_cre_count,broken_cres
4882,WordPad,"CR04 []",CR04,"{(_cRulerBar{7507}<InstanceType-Property{359}>(PropertyType).aggregation = Instance-composite{557}<InstanceType-AggregationKind{555}>), ({7508}<InstanceType-Association{523}>(AssociationType).memberEnd Add Instance-_cBigIcon{7437}<InstanceType-Property{359}>)}",1,"CR06 [_cRulerBar],"
4892,WordPad,"CR14 [WriteTitle]",CR14,"{(WriteTitle{1618}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{5467}<InstanceType-Parameter{400}>)}",1,"CR11 [WriteTitle],"
4898,WordPad,"CR04 []",CR04,"{(composite{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite), (composite{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite)}",2,"CR06 [m_pButtons],CR06 [_cButtonDialog],"
4961,WordPad,"CR10 [DoModal]",CR10,"{(DoModal{5514}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{5467}<InstanceType-Parameter{400}>)}",1,"CR11 [DoModal],"
5061,WordPad,"CR10 [DoModal]",CR10,"{(DoModal{5289}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{5467}<InstanceType-Parameter{400}>)}",1,"CR11 [DoModal],"
5083,WordPad,"CR10 [GetView]",CR10,"{(GetView{7124}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{5467}<InstanceType-Parameter{400}>)}",1,"CR11 [GetView],"
5120,WordPad,"CR10 [StartContent]",CR10,"{(StartContent{1614}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{5467}<InstanceType-Parameter{400}>)}",1,"CR11 [StartContent],"
5122,WordPad,"CR10 [Move]",CR10,"{(Move{4310}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{5467}<InstanceType-Parameter{400}>)}",1,"CR11 [Move],"
5130,WordPad,"CR10 [GetLBReallocSize]",CR10,"{(GetLBReallocSize{1960}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-ar{5467}<InstanceType-Parameter{400}>)}",1,"CR11 [GetLBReallocSize],"
5131,WordPad,"CR04 []",CR04,"{(m_wndStatusBar{8239}<InstanceType-Property{359}>(PropertyType).aggregation = Instance-shared{556}<InstanceType-AggregationKind{555}>), (composite{557}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite)}",1,"CR06 [_cMainFrame],"
5156,WordPad,"CR04 []",CR04,"{(m_bmFontType{8135}<InstanceType-Property{359}>(PropertyType).aggregation = Instance-composite{557}<InstanceType-AggregationKind{555}>), (composite{556}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite)}",2,"CR06 [m_bmFontType],CR06 [_cFontComboBox],"
