time,size,model_name
1962,63098,itrust
1998,63098,itrust
1769,63098,itrust
510,63098,itrust
981,63098,itrust
9183,63098,itrust
1549,63098,itrust
1874,63098,itrust
724,63098,itrust
479,63098,itrust
2258,63098,itrust
2398,63098,itrust
1765,63098,itrust
448,63098,itrust
1559,63098,itrust
646,63098,itrust
3539,63098,itrust
475,63098,itrust
1033,63098,itrust
1037,63098,itrust
1614,63098,itrust
434,63098,itrust
4706,63098,itrust
2271,63098,itrust
811,63098,itrust
1015,63098,itrust
5626,63098,itrust
2710,63098,itrust
456,63098,itrust
446,63098,itrust
1561,63098,itrust
779,63098,itrust
1856,63098,itrust
1187,63098,itrust
980,63098,itrust
571,63098,itrust
1161,63098,itrust
1442,63098,itrust
946,63098,itrust
684,63098,itrust
470,63098,itrust
576,63098,itrust
540,63098,itrust
1030,63098,itrust
569,63098,itrust
794,63098,itrust
2272,63098,itrust
15977,63098,itrust
876,3009,UMLLCAF03aT1
422,3009,UMLLCAF03aT1
640,448,eBullition
7094,448,eBullition
8603,448,eBullition
3693,448,eBullition
769,448,eBullition
7316,448,eBullition
1841,8771,dSpace32
657,8771,dSpace32
5467,8771,dSpace32
785,8771,dSpace32
757,8771,dSpace32
13444,8771,dSpace32
12731,71,VODRepairPaper
2474452,1466,VacationandSickLeaveSystem
1974,1466,VacationandSickLeaveSystem
1310,1466,VacationandSickLeaveSystem
1620,1466,VacationandSickLeaveSystem
10198,1466,VacationandSickLeaveSystem
132206,204,ATM
2105,204,ATM
2562,204,ATM
10758,204,ATM
185281,2093,BuildingManagementSystem
2331,2093,BuildingManagementSystem
726,2093,BuildingManagementSystem
731,2093,BuildingManagementSystem
1866,2093,BuildingManagementSystem
7736,2093,BuildingManagementSystem
53971,5857,XVNPI
196692,5857,XVNPI
2465,5857,XVNPI
884,5857,XVNPI
8197,5857,XVNPI
18182,5857,XVNPI
1662,5857,XVNPI
1891328,5857,XVNPI
736,1979,DESI23
1652,1979,DESI23
1722,1979,DESI23
523,1979,DESI23
12078,1979,DESI23
1491,621,CurriculumPlanner
5606,621,CurriculumPlanner
5411,621,CurriculumPlanner
994,621,CurriculumPlanner
699,621,CurriculumPlanner
8388,621,CurriculumPlanner
2453,1100,Dice3
2225,1100,Dice3
2882,1100,Dice3
761,1100,Dice3
2765,1100,Dice3
619,1100,Dice3
695,1100,Dice3
29953,1100,Dice3
906,1261,CourseRegistrationSystem
3053,1261,CourseRegistrationSystem
1259385,1261,CourseRegistrationSystem
10226,1261,CourseRegistrationSystem
557,1261,CourseRegistrationSystem
