time,cr
12,CR3A
11,CR3A
10,CR3A
15,CR3A
8,CR3A
8,CR3A
16,CR3A
14,CR3A
13,CR3A
12,CR3A
14,CR3A
12,CR3A
10,CR3A
14,CR3A
13,CR3A
100,CR9A
82,CR9A
157,CR9A
155,CR9A
100,CR9A
153,CR9A
121,CR9A
105,CR9A
99,CR9A
125,CR9A
123,CR9A
80,CR9A
135,CR9A
82,CR9A
132,CR9A
176,CR9A
80,CR9A
97,CR9A
165,CR9A
111,CR9A
89,CR9A
115,CR9A
90,CR9A
84,CR9A
134,CR9A
220,CR9A
76,CR9A
136,CR9A
78,CR9A
83,CR9A
122,CR9A
151,CR9A
166,CR9A
96,CR9A
80,CR9A
138,CR9A
127,CR9A
145,CR9A
88,CR9A
94,CR9A
174,CR9A
97,CR9A
104,CR9A
97,CR9A
132,CR9A
127,CR9A
109,CR9A
93,CR9A
81,CR9A
92,CR9A
90,CR9A
78,CR9A
132,CR9A
104,CR9A
94,CR9A
95,CR9A
108,CR9A
120,CR9A
71,CR9A
85,CR9A
96,CR9A
102,CR9A
148,CR9A
141,CR9A
95,CR9A
128,CR9A
107,CR9A
221,CR9A
94,CR9A
153,CR9A
112,CR9A
148,CR9A
136,CR9A
131,CR9A
94,CR9A
177,CR9A
79,CR9A
166,CR9A
130,CR9A
81,CR9A
76,CR9A
79,CR9A
105,CR9A
104,CR9A
113,CR9A
103,CR9A
93,CR9A
492,CR9A
86,CR9A
146,CR9A
85,CR9A
109,CR9A
102,CR9A
87,CR9A
133,CR9A
92,CR9A
132,CR9A
159,CR9A
108,CR9A
93,CR9A
109,CR9A
92,CR9A
83,CR9A
92,CR9A
92,CR9A
137,CR9A
110,CR9A
136,CR9A
137,CR9A
96,CR9A
157,CR9A
158,CR9A
86,CR9A
124,CR9A
136,CR9A
90,CR9A
94,CR9A
97,CR9A
112,CR9A
112,CR9A
106,CR9A
125,CR9A
123,CR9A
124,CR9A
75,CR9A
107,CR9A
167,CR9A
190,CR9A
125,CR9A
113,CR9A
77,CR9A
88,CR9A
94,CR9A
76,CR9A
101,CR9A
