time,crd
41,CR3B
37,CR3B
31,CR3B
177,CR3B
55,CR3B
34,CR3B
42,CR3B
47,CR3B
27,CR3B
71,CR3B
56,CR3B
74,CR3B
60,CR3B
55,CR3B
62,CR3B
56,CR3B
115,CR3B
77,CR3B
45,CR3B
38,CR3B
58,CR3B
67,CR3B
50,CR3B
91,CR3B
54,CR3B
37,CR3B
55,CR3B
68,CR3B
55,CR3B
45,CR3B
32,CR3B
58,CR3B
66,CR3B
33,CR3B
49,CR3B
64,CR3B
31,CR3B
51,CR3B
65,CR3B
46,CR3B
32,CR3B
64,CR3B
48,CR3B
57,CR3B
65,CR3B
85,CR3B
49,CR3B
41,CR3B
48,CR3B
70,CR3B
48,CR3B
47,CR3B
43,CR3B
58,CR3B
149,CR3B
56,CR3B
48,CR3B
37,CR3B
43,CR3B
88,CR3B
39,CR3B
38,CR3B
54,CR3B
30,CR3B
43,CR3B
38,CR3B
60,CR3B
46,CR3B
27,CR3B
33,CR3B
44,CR3B
28,CR3B
35,CR3B
57,CR3B
85,CR3B
45,CR3B
40,CR3B
66,CR3B
61,CR3B
63,CR3B
59,CR3B
43,CR3B
45,CR3B
58,CR3B
80,CR3B
45,CR3B
54,CR3B
57,CR3B
32,CR3B
49,CR3B
52,CR3B
60,CR3B
58,CR3B
43,CR3B
33,CR3B
93,CR3B
33,CR3B
48,CR3B
75,CR3B
43,CR3B
61,CR3B
53,CR3B
66,CR3B
51,CR3B
67,CR3B
43,CR3B
68,CR3B
77,CR3B
51,CR3B
60,CR3B
79,CR3B
46,CR3B
71,CR3B
44,CR3B
63,CR3B
70,CR3B
109,CR3B
49,CR3B
44,CR3B
52,CR3B
39,CR3B
76,CR3B
85,CR3B
50,CR3B
49,CR3B
46,CR3B
42,CR3B
52,CR3B
49,CR3B
60,CR3B
32,CR3B
52,CR3B
43,CR3B
81,CR3B
69,CR3B
66,CR3B
51,CR3B
99,CR3B
62,CR3B
47,CR3B
50,CR3B
48,CR3B
35,CR3B
66,CR3B
49,CR3B
33,CR3B
32,CR3B
31,CR3B
43,CR3B
69,CR3B
32,CR3B
43,CR3B
40,CR3B
30,CR3B
51,CR3B
65,CR3B
52,CR3B
49,CR3B
51,CR3B
47,CR3B
44,CR3B
50,CR3B
31,CR3B
48,CR3B
47,CR3B
61,CR3B
52,CR3B
54,CR3B
52,CR3B
62,CR3B
43,CR3B
44,CR3B
54,CR3B
57,CR3B
79,CR3B
52,CR3B
56,CR3B
50,CR3B
38,CR3B
61,CR3B
65,CR3B
57,CR3B
59,CR3B
42,CR3B
43,CR3B
41,CR3B
56,CR3B
66,CR3B
40,CR3B
59,CR3B
32,CR3B
45,CR3B
81,CR3B
44,CR3B
47,CR3B
45,CR3B
57,CR3B
42,CR3B
44,CR3B
78,CR3B
80,CR3B
64,CR3B
51,CR3B
56,CR3B
76,CR3B
42,CR3B
45,CR3B
43,CR3B
42,CR3B
44,CR3B
42,CR3B
55,CR3B
50,CR3B
43,CR3B
46,CR3B
54,CR3B
46,CR3B
53,CR3B
47,CR3B
40,CR3B
46,CR3B
62,CR3B
58,CR3B
47,CR3B
48,CR3B
45,CR3B
75,CR3B
41,CR3B
47,CR3B
49,CR3B
42,CR3B
41,CR3B
44,CR3B
50,CR3B
38,CR3B
82,CR3B
56,CR3B
48,CR3B
81,CR3B
46,CR3B
39,CR3B
46,CR3B
74,CR3B
64,CR3B
66,CR3B
39,CR3B
71,CR3B
41,CR3B
42,CR3B
70,CR3B
47,CR3B
42,CR3B
46,CR3B
49,CR3B
66,CR3B
59,CR3B
43,CR3B
44,CR3B
74,CR3B
52,CR3B
67,CR3B
81,CR3B
63,CR3B
50,CR3B
86,CR3B
74,CR3B
54,CR3B
77,CR3B
49,CR3B
47,CR3B
48,CR3B
26,CR3B
25,CR3B
70,CR3B
76,CR3B
31,CR3B
33,CR3B
45,CR3B
61,CR3B
79,CR3B
77,CR3B
71,CR3B
32,CR3B
33,CR3B
32,CR3B
175,CR3B
33,CR3B
45,CR3B
32,CR3B
31,CR3B
74,CR3B
70,CR3B
48,CR3B
42,CR3B
45,CR3B
80,CR3B
44,CR3B
41,CR3B
71,CR3B
40,CR3B
46,CR3B
66,CR3B
40,CR3B
57,CR3B
55,CR3B
63,CR3B
53,CR3B
65,CR3B
51,CR3B
42,CR3B
59,CR3B
41,CR3B
101,CR3B
83,CR3B
90,CR3B
42,CR3B
68,CR3B
78,CR3B
70,CR3B
51,CR3B
37,CR3B
40,CR3B
43,CR3B
77,CR3B
74,CR3B
43,CR3B
74,CR3B
70,CR3B
56,CR3B
69,CR3B
53,CR3B
75,CR3B
77,CR3B
73,CR3B
32,CR3B
62,CR3B
32,CR3B
34,CR3B
97,CR3B
59,CR3B
41,CR3B
61,CR3B
57,CR3B
39,CR3B
61,CR3B
45,CR3B
57,CR3B
48,CR3B
46,CR3B
44,CR3B
44,CR3B
40,CR3B
40,CR3B
45,CR3B
34,CR3B
41,CR3B
51,CR3B
45,CR3B
48,CR3B
48,CR3B
41,CR3B
55,CR3B
39,CR3B
46,CR3B
49,CR3B
42,CR3B
47,CR3B
42,CR3B
44,CR3B
43,CR3B
47,CR3B
49,CR3B
45,CR3B
49,CR3B
57,CR3B
56,CR3B
34,CR3B
57,CR3B
42,CR3B
42,CR3B
44,CR3B
49,CR3B
47,CR3B
58,CR3B
78,CR3B
47,CR3B
67,CR3B
51,CR3B
44,CR3B
52,CR3B
42,CR3B
51,CR3B
53,CR3B
43,CR3B
59,CR3B
43,CR3B
86,CR3B
44,CR3B
79,CR3B
63,CR3B
46,CR3B
139,CR3B
53,CR3B
66,CR3B
43,CR3B
39,CR3B
63,CR3B
78,CR3B
49,CR3B
38,CR3B
43,CR3B
52,CR3B
79,CR3B
42,CR3B
47,CR3B
43,CR3B
50,CR3B
78,CR3B
55,CR3B
58,CR3B
48,CR3B
46,CR3B
40,CR3B
41,CR3B
76,CR3B
47,CR3B
76,CR3B
56,CR3B
43,CR3B
50,CR3B
42,CR3B
41,CR3B
81,CR3B
109,CR3B
42,CR3B
44,CR3B
40,CR3B
57,CR3B
28,CR3B
46,CR3B
27,CR3B
51,CR3B
67,CR3B
29,CR3B
99,CR3B
44,CR3B
54,CR3B
40,CR3B
48,CR3B
45,CR3B
33,CR3B
76,CR3B
26,CR3B
25,CR3B
26,CR3B
32,CR3B
39,CR3B
79,CR3B
66,CR3B
65,CR3B
47,CR3B
28,CR3B
