repair_generation_time,system_name,size
117,ApoDefence,27458
95,ApoDefence,27458
188,ApoDefence,27458
658,ApoDefence,27458
311,ApoDefence,27458
181,ApoDefence,27458
154,ApoDefence,27458
97,ApoDefence,27458
203,ApoDefence,27458
308,ApoDefence,27458
191,ApoDefence,27458
137,ApoDefence,27458
466,ApoDefence,27458
166,ApoDefence,27458
663,ApoDefence,27458
280,ApoDefence,27458
153,ApoDefence,27458
116,ApoDefence,27458
133,ApoDefence,27458
725,ApoDefence,27458
228,ApoDefence,27458
137,ApoDefence,27458
74,ApoDefence,27458
615,ApoDefence,27458
299,ApoDefence,27458
644,ApoDefence,27458
108,ApoDefence,27458
128,ApoDefence,27458
115,ApoDefence,27458
71,ApoDefence,27458
100,ApoDefence,27458
158,ApoDefence,27458
150,ApoDefence,27458
106,ApoDefence,27458
122,ApoDefence,27458
227,ApoDefence,27458
91,ApoDefence,27458
5209,ApoDefence,27458
8983,ApoIcarus,12577
477,ApoIcarus,12577
320,ApoIcarus,12577
347,ApoIcarus,12577
433,ApoIcarus,12577
988,ApoIcarus,12577
314,ApoIcarus,12577
359,ApoIcarus,12577
401,ApoIcarus,12577
274,ApoIcarus,12577
254,ApoIcarus,12577
423,ApoIcarus,12577
600,ApoIcarus,12577
242,ApoIcarus,12577
521,ApoIcarus,12577
370,ApoIcarus,12577
1420,ApoIcarus,12577
338,ApoIcarus,12577
184,ApoIcarus,12577
255,ApoIcarus,12577
164,ApoIcarus,12577
238,ApoIcarus,12577
223,ApoIcarus,12577
261,ApoIcarus,12577
192,ApoIcarus,12577
89,ApoIcarus,12577
136,ApoIcarus,12577
134,ApoIcarus,12577
243,ApoIcarus,12577
213,ApoIcarus,12577
237,ApoIcarus,12577
303,ApoIcarus,12577
198,ApoIcarus,12577
113,ApoIcarus,12577
188,ApoIcarus,12577
215,ApoIcarus,12577
91,ApoIcarus,12577
155,ApoIcarus,12577
236,ApoIcarus,12577
840,ApoIcarus,12577
176,ApoIcarus,12577
165,ApoIcarus,12577
221,ApoIcarus,12577
485,ApoIcarus,12577
245,ApoIcarus,12577
564,ApoIcarus,12577
243,ApoIcarus,12577
99,ApoIcarus,12577
219,ApoIcarus,12577
104,ApoIcarus,12577
1004,ApoIcarus,12577
202,ApoIcarus,12577
200,ApoIcarus,12577
286,ApoIcarus,12577
237,ApoIcarus,12577
239,ApoIcarus,12577
120,ApoIcarus,12577
215,ApoIcarus,12577
232,ApoIcarus,12577
7858,ApoMarc,11391
401,ApoMarc,11391
356,ApoMarc,11391
228,ApoMarc,11391
375,ApoMarc,11391
684,ApoMarc,11391
370,ApoMarc,11391
154,ApoMarc,11391
159,ApoMarc,11391
153,ApoMarc,11391
305,ApoMarc,11391
131,ApoMarc,11391
251,ApoMarc,11391
438,ApoMarc,11391
56644,ApoMarc,11391
290,ApoMarc,11391
281,ApoMarc,11391
332,ApoMarc,11391
237,ApoMarc,11391
226,ApoMarc,11391
226,ApoMarc,11391
370,ApoMarc,11391
336,ApoMarc,11391
276,ApoMarc,11391
883,ApoMarc,11391
200,ApoMarc,11391
214,ApoMarc,11391
174,ApoMarc,11391
145,ApoMarc,11391
271,ApoMarc,11391
104,ApoMarc,11391
277,ApoMarc,11391
334,ApoMarc,11391
147,ApoMarc,11391
175,ApoMarc,11391
291,ApoMarc,11391
185,ApoMarc,11391
114,ApoMarc,11391
67,ApoMarc,11391
286,ApoMarc,11391
215,ApoMarc,11391
322,ApoMarc,11391
241,ApoMarc,11391
919,ApoMarc,11391
147,ApoMarc,11391
213,ApoMarc,11391
256,ApoMarc,11391
182,ApoMarc,11391
225,ApoMarc,11391
123,ApoMarc,11391
67,ApoMarc,11391
8347,ApoNotSoSimple,15042
837,ApoNotSoSimple,15042
388,ApoNotSoSimple,15042
308,ApoNotSoSimple,15042
204,ApoNotSoSimple,15042
791,ApoNotSoSimple,15042
759,ApoNotSoSimple,15042
530,ApoNotSoSimple,15042
728,ApoNotSoSimple,15042
673,ApoNotSoSimple,15042
283,ApoNotSoSimple,15042
309,ApoNotSoSimple,15042
343,ApoNotSoSimple,15042
352,ApoNotSoSimple,15042
184,ApoNotSoSimple,15042
372,ApoNotSoSimple,15042
1374,ApoNotSoSimple,15042
285,ApoNotSoSimple,15042
254,ApoNotSoSimple,15042
425,ApoNotSoSimple,15042
339,ApoNotSoSimple,15042
349,ApoNotSoSimple,15042
353,ApoNotSoSimple,15042
547,ApoNotSoSimple,15042
268,ApoNotSoSimple,15042
260,ApoNotSoSimple,15042
229,ApoNotSoSimple,15042
345,ApoNotSoSimple,15042
307,ApoNotSoSimple,15042
306,ApoNotSoSimple,15042
253,ApoNotSoSimple,15042
277,ApoNotSoSimple,15042
205,ApoNotSoSimple,15042
214,ApoNotSoSimple,15042
587,ApoNotSoSimple,15042
201,ApoNotSoSimple,15042
166,ApoNotSoSimple,15042
97,ApoNotSoSimple,15042
839,ApoNotSoSimple,15042
238,ApoNotSoSimple,15042
231,ApoNotSoSimple,15042
83,ApoNotSoSimple,15042
64,ApoNotSoSimple,15042
102,ApoNotSoSimple,15042
133,ApoNotSoSimple,15042
182,ApoNotSoSimple,15042
196,ApoNotSoSimple,15042
310,ApoNotSoSimple,15042
275,ApoNotSoSimple,15042
138,ApoNotSoSimple,15042
258,ApoNotSoSimple,15042
356,ApoNotSoSimple,15042
299,ApoNotSoSimple,15042
168,ApoNotSoSimple,15042
254,ApoNotSoSimple,15042
254,ApoNotSoSimple,15042
165,ApoNotSoSimple,15042
138,ApoNotSoSimple,15042
276,ApoNotSoSimple,15042
496,ApoNotSoSimple,15042
205,ApoNotSoSimple,15042
332,ApoNotSoSimple,15042
153,ApoNotSoSimple,15042
29413,ApoPongBeat,12560
581,ApoPongBeat,12560
963,ApoPongBeat,12560
338,ApoPongBeat,12560
274,ApoPongBeat,12560
372,ApoPongBeat,12560
559,ApoPongBeat,12560
269,ApoPongBeat,12560
280,ApoPongBeat,12560
275,ApoPongBeat,12560
532,ApoPongBeat,12560
328,ApoPongBeat,12560
242,ApoPongBeat,12560
158,ApoPongBeat,12560
312,ApoPongBeat,12560
294,ApoPongBeat,12560
461,ApoPongBeat,12560
392,ApoPongBeat,12560
259,ApoPongBeat,12560
294,ApoPongBeat,12560
486,ApoPongBeat,12560
459,ApoPongBeat,12560
349,ApoPongBeat,12560
567,ApoPongBeat,12560
407,ApoPongBeat,12560
419,ApoPongBeat,12560
409,ApoPongBeat,12560
382,ApoPongBeat,12560
403,ApoPongBeat,12560
448,ApoPongBeat,12560
721,ApoPongBeat,12560
715,ApoPongBeat,12560
837,ApoPongBeat,12560
487,ApoPongBeat,12560
289,ApoPongBeat,12560
548,ApoPongBeat,12560
214,ApoPongBeat,12560
334,ApoPongBeat,12560
244,ApoPongBeat,12560
248,ApoPongBeat,12560
855,ApoPongBeat,12560
211,ApoPongBeat,12560
295,ApoPongBeat,12560
147,ApoPongBeat,12560
161,ApoPongBeat,12560
272,ApoPongBeat,12560
490,ApoPongBeat,12560
542,ApoPongBeat,12560
365,ApoPongBeat,12560
115,ApoPongBeat,12560
94,ApoPongBeat,12560
182,ApoPongBeat,12560
461,ApoPongBeat,12560
702,ApoPongBeat,12560
322,ApoPongBeat,12560
422,ApoPongBeat,12560
260,ApoPongBeat,12560
359,ApoPongBeat,12560
447,ApoPongBeat,12560
363,ApoPongBeat,12560
244,ApoPongBeat,12560
367,ApoPongBeat,12560
668,ApoPongBeat,12560
421,ApoPongBeat,12560
313,ApoPongBeat,12560
440,ApoPongBeat,12560
241,ApoPongBeat,12560
8117,ApoRelax,16136
309,ApoRelax,16136
482,ApoRelax,16136
326,ApoRelax,16136
659,ApoRelax,16136
1717,ApoRelax,16136
1396,ApoRelax,16136
897,ApoRelax,16136
1950,ApoRelax,16136
633,ApoRelax,16136
450,ApoRelax,16136
564,ApoRelax,16136
943,ApoRelax,16136
607,ApoRelax,16136
411,ApoRelax,16136
373,ApoRelax,16136
365,ApoRelax,16136
631,ApoRelax,16136
559,ApoRelax,16136
1304,ApoRelax,16136
884,ApoRelax,16136
357,ApoRelax,16136
222,ApoRelax,16136
298,ApoRelax,16136
484,ApoRelax,16136
336,ApoRelax,16136
174,ApoRelax,16136
269,ApoRelax,16136
144,ApoRelax,16136
146,ApoRelax,16136
149,ApoRelax,16136
149,ApoRelax,16136
465,ApoRelax,16136
214,ApoRelax,16136
212,ApoRelax,16136
171,ApoRelax,16136
191,ApoRelax,16136
618,ApoRelax,16136
311,ApoRelax,16136
446,ApoRelax,16136
173,ApoRelax,16136
147,ApoRelax,16136
260,ApoRelax,16136
474,ApoRelax,16136
488,ApoRelax,16136
258,ApoRelax,16136
321,ApoRelax,16136
132,ApoRelax,16136
116,ApoRelax,16136
254,ApoRelax,16136
4075,ApoRelax,16136
184,ApoRelax,16136
450,ApoRelax,16136
316,ApoRelax,16136
134,ApoRelax,16136
202,ApoRelax,16136
166,ApoRelax,16136
132,ApoRelax,16136
543,ApoRelax,16136
164,ApoRelax,16136
61,ApoRelax,16136
190,ApoRelax,16136
134,ApoRelax,16136
140,ApoRelax,16136
189,ApoRelax,16136
194,ApoRelax,16136
357,ApoRelax,16136
