time,model_name,size
17,S1,10364
17,S1,10364
16,S1,10364
13,S1,10364
14,S1,10364
12,S1,10364
16,S1,10364
17,S1,10364
10,S1,10364
11,S1,10364
14,S1,10364
14,S1,10364
10,S1,10364
15,S1,10364
11,S1,10364
8,S1,10364
12,S1,10364
20,S1,10364
11,S1,10364
17,S1,10364
12,S1,10364
13,S1,10364
21,S1,10364
13,S1,10364
12,S1,10364
11,S1,10364
11,S1,10364
14,S1,10364
13,S1,10364
16,S1,10364
12,S1,10364
13,S1,10364
16,S1,10364
12,S1,10364
14,S1,10364
14,S1,10364
16,S1,10364
17,S1,10364
18,S1,10364
13,S1,10364
16,S1,10364
21,S1,10364
15,S1,10364
15,S1,10364
14,S1,10364
12,S1,10364
15,S1,10364
10,S1,10364
10,S1,10364
13,S1,10364
12,S1,10364
13,S1,10364
19,S1,10364
11,S1,10364
13,S1,10364
11,S1,10364
10,S1,10364
10,S1,10364
10,S1,10364
19,S1,10364
10,S1,10364
12,S1,10364
8,S1,10364
16,S1,10364
15,S1,10364
14,S1,10364
11,S1,10364
17,S1,10364
17,S1,10364
13,S1,10364
13,S1,10364
12,S1,10364
13,S1,10364
12,S1,10364
12,S1,10364
11,S1,10364
15,S1,10364
17,S1,10364
13,S1,10364
22,S1,10364
16,S1,10364
14,S1,10364
14,S1,10364
14,S1,10364
21,S1,10364
15,S1,10364
17,S1,10364
13,S1,10364
14,S1,10364
15,S1,10364
18,S1,10364
18,S1,10364
12,S1,10364
13,S1,10364
16,S1,10364
13,S1,10364
7,S1,10364
13,S1,10364
11,S1,10364
43,S1,10364
10,S1,10364
11,S1,10364
14,S1,10364
18,S1,10364
7,S1,10364
12,S1,10364
13,S1,10364
13,S1,10364
12,S1,10364
15,S1,10364
13,S1,10364
17,S1,10364
12,S1,10364
11,S1,10364
11,S1,10364
18,S1,10364
14,S1,10364
73,S1,10364
16,S1,10364
18,S1,10364
10,S1,10364
13,S1,10364
22,S1,10364
14,S1,10364
19,S1,10364
17,S1,10364
18,S1,10364
12,S1,10364
20,S1,10364
32,S1,10364
12,S1,10364
21,S1,10364
14,S1,10364
14,S1,10364
15,S1,10364
22,S1,10364
19,S1,10364
15,S1,10364
14,S1,10364
12,S1,10364
11,S1,10364
16,S1,10364
12,S1,10364
14,S1,10364
11,S1,10364
14,S1,10364
12,S1,10364
13,S1,10364
11,S1,10364
10,S1,10364
11,S1,10364
16,S1,10364
12,S1,10364
13,S1,10364
10,S1,10364
12,S1,10364
19,S1,10364
17,S1,10364
19,S1,10364
13,S1,10364
17,S1,10364
16,S1,10364
15,S1,10364
17,S1,10364
22,S1,10364
17,S1,10364
19,S1,10364
17,S1,10364
16,S1,10364
15,S1,10364
16,S1,10364
18,S1,10364
19,S1,10364
16,S1,10364
13,S1,10364
12,S1,10364
21,S1,10364
20,S1,10364
11,S1,10364
11,S1,10364
18,S1,10364
12,S1,10364
16,S1,10364
17,S1,10364
14,S1,10364
16,S1,10364
11,S1,10364
19,S1,10364
16,S1,10364
10,S1,10364
13,S1,10364
15,S1,10364
13,S1,10364
11,S1,10364
11,S1,10364
16,S1,10364
10,S1,10364
11,S1,10364
10,S1,10364
8,S1,10364
11,S1,10364
10,S1,10364
16,S1,10364
12,S1,10364
12,S1,10364
14,S1,10364
12,S1,10364
11,S1,10364
10,S1,10364
15,S1,10364
8,S1,10364
8,S1,10364
16,S1,10364
14,S1,10364
13,S1,10364
12,S1,10364
14,S1,10364
12,S1,10364
10,S1,10364
14,S1,10364
13,S1,10364
100,S1,10364
82,S1,10364
157,S1,10364
155,S1,10364
100,S1,10364
153,S1,10364
121,S1,10364
105,S1,10364
99,S1,10364
125,S1,10364
123,S1,10364
80,S1,10364
135,S1,10364
82,S1,10364
132,S1,10364
176,S1,10364
80,S1,10364
97,S1,10364
165,S1,10364
111,S1,10364
89,S1,10364
115,S1,10364
90,S1,10364
84,S1,10364
134,S1,10364
220,S1,10364
76,S1,10364
136,S1,10364
78,S1,10364
83,S1,10364
122,S1,10364
151,S1,10364
166,S1,10364
96,S1,10364
80,S1,10364
138,S1,10364
127,S1,10364
145,S1,10364
88,S1,10364
94,S1,10364
174,S1,10364
97,S1,10364
104,S1,10364
97,S1,10364
132,S1,10364
127,S1,10364
109,S1,10364
93,S1,10364
81,S1,10364
92,S1,10364
90,S1,10364
78,S1,10364
132,S1,10364
104,S1,10364
94,S1,10364
95,S1,10364
108,S1,10364
120,S1,10364
71,S1,10364
85,S1,10364
96,S1,10364
102,S1,10364
148,S1,10364
141,S1,10364
95,S1,10364
128,S1,10364
107,S1,10364
221,S1,10364
94,S1,10364
153,S1,10364
112,S1,10364
148,S1,10364
136,S1,10364
131,S1,10364
94,S1,10364
177,S1,10364
79,S1,10364
